ND,Standard Model
79345,82117
62263,64783
50152,50985
40918,42223
33718,34173
51164,51384
36436,36944
26302,26488
19516,19618.8
14567,14662.8
11186,11160.6
8636,8716.2
6792,6782
5293,5385.6
4123,4250.2
3360,3399.8
2759,2743.8
2228,2204
1748,1833.9
1528,1598.3
1234,1268.16
1059,1067.72
864,893.48
751,741.54
661,640.8
792.99,779.76
639,629.76
515.01,513.69
432.99,412.77
374.01,330.15
311.01,266.91
204,243.474
207,186.687
156,159.942
123.999,134.403
177,180.095
156,136.905
86,105.805
78,79.795
78,64.215
49,52.115
41,41.3115
43.0002,39.357
31.9998,30.5148
21,23.7774
25.0002,19.1136
15,15.0264
15,12.0132
8.0003,11.3232
10.9998,8.4959
5.99998,6.85475
8.0003,5.25553
8,4.71256
7,3.57888
3,2.86
