ND,Standard Model
109457.344,112520.016
91418.7299999999,90444.6599999999
74643.894,73394.568
60618.47,61244.81
49128.489,50469.258
41800.308,41839.872
32648.468,32988.981
26435.103,26921.083
21187.6184,21531.588
16796.668,16912.7
13169.7555,13098.5085
10490.214,10333.757
7649.90800000001,7769.33500000001
6128.0037,6219.5728
4612.6627,4759.3047
3456.54296,3379.5842
2634.9075,2662.329
1979.17083,1926.38706
1477.94643,1417.97733
1015.95466,1048.48268
759.0765,781.92225
573.958180000001,553.886460000001
389.017,403.3031
295.028202,292.150418
201.9732,206.53568
131.98626,148.2273
106.99628,105.50032
70.978926,71.913746
59.02369,49.585554
26.995575,35.7306
17.999954,22.943934
13.00398,16.592136
10.9959242,9.79575950000001
5.00012779999999,6.26511259999999
5.00137,3.93946
3.99983650000001,2.7555572
