Bin , nEvents , Efficiencies
152.41,1580,0.0316
165.05,1440,0.0288
178.75,1526,0.03052
193.57,1470,0.0294
209.63,1351,0.02702
227.02,1187,0.02374
245.86,1287,0.02574
266.25,1105,0.0221
288.34,1076,0.02152
312.26,930,0.0186
338.16,900,0.018
366.21,809,0.01618
396.59,778,0.01556
429.49,660,0.0132
465.12,611,0.01222
503.71,566,0.01132
545.49,490,0.0098
590.74,491,0.00982
639.75,390,0.0078
692.82,383,0.00766
750.29,303,0.00606
812.54,259,0.00518
879.94,211,0.00422
952.94,227,0.00454
1032,201,0.00402
1117.6,134,0.00268
1210.3,108,0.00216
1310.7,94,0.00188
1419.4,79,0.00158
1537.2,53,0.00106
1664.7,42,0.00084
1802.8,31,0.00062
1952.4,17,0.00034
2114.3,19,0.00038
2289.7,10,0.0002
2479.7,10,0.0002
