Bin , nEvents , Efficiencies
152.41,1568,0.03136
165.05,1593,0.03186
178.75,1562,0.03124
193.57,1530,0.0306
209.63,1484,0.02968
227.02,1414,0.02828
245.86,1262,0.02524
266.25,1187,0.02374
288.34,1202,0.02404
312.26,1055,0.0211
338.16,1001,0.02002
366.21,923,0.01846
396.59,841,0.01682
429.49,770,0.0154
465.12,667,0.01334
503.71,660,0.0132
545.49,558,0.01116
590.74,530,0.0106
639.75,449,0.00898
692.82,368,0.00736
750.29,339,0.00678
812.54,297,0.00594
879.94,263,0.00526
952.94,200,0.004
1032,195,0.0039
1117.6,142,0.00284
1210.3,145,0.0029
1310.7,120,0.0024
1419.4,78,0.00156
1537.2,62,0.00124
1664.7,63,0.00126
1802.8,29,0.00058
1952.4,21,0.00042
2114.3,23,0.00046
2289.7,23,0.00046
2479.7,13,0.00026
