Bin , nEvents , Efficiencies
150,5,0.0001
160,7,0.00014
170,8,0.00016
180,12,0.00024
190,13,0.00026
200,35,0.0007
220,59,0.00118
240,77,0.00154
260,91,0.00182
280,92,0.00184
300,109,0.00218
320,115,0.0023
340,127,0.00254
360,130,0.0026
380,102,0.00204
400,127,0.00254
420,144,0.00288
440,150,0.003
460,140,0.0028
480,161,0.00322
500,193,0.00386
520,181,0.00362
540,161,0.00322
560,207,0.00414
580,181,0.00362
600,313,0.00626
630,360,0.0072
660,373,0.00746
690,361,0.00722
720,403,0.00806
750,383,0.00766
780,410,0.0082
810,431,0.00862
840,411,0.00822
870,443,0.00886
900,747,0.01494
950,735,0.0147
1000,814,0.01628
1050,792,0.01584
1100,741,0.01482
1150,778,0.01556
1200,692,0.01384
1250,829,0.01658
1310,807,0.01614
1370,766,0.01532
1430,753,0.01506
1490,651,0.01302
1550,631,0.01262
1610,710,0.0142
1680,656,0.01312
1750,571,0.01142
1820,579,0.01158
1890,580,0.0116
1970,450,0.009
2050,442,0.00884
