Bin , nEvents , Efficiencies
150,15,0.0003
160,13,0.00026
170,15,0.0003
180,38,0.00076
190,43,0.00086
200,86,0.00172
220,90,0.0018
240,103,0.00206
260,98,0.00196
280,115,0.0023
300,124,0.00248
320,141,0.00282
340,154,0.00308
360,146,0.00292
380,168,0.00336
400,222,0.00444
420,195,0.0039
440,193,0.00386
460,219,0.00438
480,239,0.00478
500,236,0.00472
520,252,0.00504
540,259,0.00518
560,268,0.00536
580,254,0.00508
600,452,0.00904
630,479,0.00958
660,508,0.01016
690,504,0.01008
720,490,0.0098
750,510,0.0102
780,547,0.01094
810,561,0.01122
840,625,0.0125
870,522,0.01044
900,941,0.01882
950,878,0.01756
1000,898,0.01796
1050,918,0.01836
1100,864,0.01728
1150,835,0.0167
1200,760,0.0152
1250,852,0.01704
1310,804,0.01608
1370,680,0.0136
1430,647,0.01294
1490,611,0.01222
1550,533,0.01066
1610,564,0.01128
1680,480,0.0096
1750,437,0.00874
1820,390,0.0078
1890,384,0.00768
1970,334,0.00668
2050,278,0.00556
