Bin , nEvents , Efficiencies
150,28,0.00056
160,29,0.00058
170,29,0.00058
180,37,0.00074
190,48,0.00096
200,111,0.00222
220,120,0.0024
240,130,0.0026
260,146,0.00292
280,124,0.00248
300,146,0.00292
320,176,0.00352
340,173,0.00346
360,172,0.00344
380,208,0.00416
400,215,0.0043
420,217,0.00434
440,243,0.00486
460,273,0.00546
480,236,0.00472
500,283,0.00566
520,277,0.00554
540,279,0.00558
560,312,0.00624
580,341,0.00682
600,490,0.0098
630,571,0.01142
660,526,0.01052
690,530,0.0106
720,533,0.01066
750,540,0.0108
780,538,0.01076
810,531,0.01062
840,562,0.01124
870,551,0.01102
900,931,0.01862
950,855,0.0171
1000,772,0.01544
1050,796,0.01592
1100,700,0.014
1150,722,0.01444
1200,712,0.01424
1250,771,0.01542
1310,753,0.01506
1370,649,0.01298
1430,650,0.013
1490,523,0.01046
1550,528,0.01056
1610,521,0.01042
1680,387,0.00774
1750,392,0.00784
1820,365,0.0073
1890,351,0.00702
1970,277,0.00554
2050,243,0.00486
