Bin , nEvents , Efficiencies
150,0,0
160,0,0
170,0,0
180,1,2e-05
190,0,0
200,2,4e-05
220,0,0
240,0,0
260,0,0
280,0,0
300,1,2e-05
320,1,2e-05
340,4,8e-05
360,2,4e-05
380,3,6e-05
400,7,0.00014
420,6,0.00012
440,7,0.00014
460,17,0.00034
480,15,0.0003
500,28,0.00056
520,26,0.00052
540,33,0.00066
560,29,0.00058
580,24,0.00048
600,49,0.00098
630,45,0.0009
660,56,0.00112
690,54,0.00108
720,66,0.00132
750,69,0.00138
780,70,0.0014
810,76,0.00152
840,69,0.00138
870,80,0.0016
900,135,0.0027
950,154,0.00308
1000,156,0.00312
1050,187,0.00374
1100,180,0.0036
1150,195,0.0039
1200,208,0.00416
1250,254,0.00508
1310,275,0.0055
1370,292,0.00584
1430,317,0.00634
1490,302,0.00604
1550,360,0.0072
1610,401,0.00802
1680,433,0.00866
1750,475,0.0095
1820,506,0.01012
1890,578,0.01156
1970,620,0.0124
2050,665,0.0133
