Bin , nEvents , Efficiencies
150,14,0.00028
160,13,0.00026
170,8,0.00016
180,8,0.00016
190,10,0.0002
200,40,0.0008
220,54,0.00108
240,67,0.00134
260,67,0.00134
280,73,0.00146
300,83,0.00166
320,84,0.00168
340,95,0.0019
360,113,0.00226
380,87,0.00174
400,107,0.00214
420,129,0.00258
440,124,0.00248
460,130,0.0026
480,154,0.00308
500,137,0.00274
520,150,0.003
540,141,0.00282
560,173,0.00346
580,150,0.003
600,250,0.005
630,258,0.00516
660,274,0.00548
690,273,0.00546
720,302,0.00604
750,299,0.00598
780,308,0.00616
810,321,0.00642
840,322,0.00644
870,305,0.0061
900,563,0.01126
950,553,0.01106
1000,569,0.01138
1050,582,0.01164
1100,619,0.01238
1150,608,0.01216
1200,595,0.0119
1250,662,0.01324
1310,667,0.01334
1370,662,0.01324
1430,680,0.0136
1490,622,0.01244
1550,626,0.01252
1610,661,0.01322
1680,650,0.013
1750,634,0.01268
1820,601,0.01202
1890,635,0.0127
1970,598,0.01196
2050,562,0.01124
