Bin , nEvents , Efficiencies
152.41,51,0.00102
165.05,87,0.00174
178.75,91,0.00182
193.57,120,0.0024
209.63,164,0.00328
227.02,183,0.00366
245.86,236,0.00472
266.25,293,0.00586
288.34,342,0.00684
312.26,395,0.0079
338.16,481,0.00962
366.21,585,0.0117
396.59,620,0.0124
429.49,705,0.0141
465.12,836,0.01672
503.71,986,0.01972
545.49,1088,0.02176
590.74,1123,0.02246
639.75,1301,0.02602
692.82,1324,0.02648
750.29,1571,0.03142
812.54,1598,0.03196
879.94,1698,0.03396
952.94,1874,0.03748
1032,1925,0.0385
1117.6,1888,0.03776
1210.3,1999,0.03998
1310.7,1848,0.03696
1419.4,1774,0.03548
1537.2,1728,0.03456
1664.7,1579,0.03158
1802.8,1451,0.02902
1952.4,1279,0.02558
2114.3,1061,0.02122
2289.7,913,0.01826
2479.7,695,0.0139
