Bin , nEvents , Efficiencies
150,131,0.00262
160,162,0.00324
170,140,0.0028
180,153,0.00306
190,150,0.003
200,329,0.00658
220,383,0.00766
240,392,0.00784
260,394,0.00788
280,384,0.00768
300,404,0.00808
320,398,0.00796
340,419,0.00838
360,442,0.00884
380,426,0.00852
400,397,0.00794
420,419,0.00838
440,378,0.00756
460,417,0.00834
480,398,0.00796
500,365,0.0073
520,381,0.00762
540,392,0.00784
560,340,0.0068
580,351,0.00702
600,530,0.0106
630,514,0.01028
660,498,0.00996
690,457,0.00914
720,449,0.00898
750,408,0.00816
780,441,0.00882
810,417,0.00834
840,431,0.00862
870,355,0.0071
900,616,0.01232
950,607,0.01214
1000,512,0.01024
1050,521,0.01042
1100,495,0.0099
1150,441,0.00882
1200,426,0.00852
1250,454,0.00908
1310,410,0.0082
1370,387,0.00774
1430,393,0.00786
1490,330,0.0066
1550,275,0.0055
1610,305,0.0061
1680,288,0.00576
1750,261,0.00522
1820,226,0.00452
1890,241,0.00482
1970,181,0.00362
2050,160,0.0032
