Bin , nEvents , Efficiencies
150,203,0.00406
160,207,0.00414
170,230,0.0046
180,245,0.0049
190,233,0.00466
200,496,0.00992
220,487,0.00974
240,522,0.01044
260,534,0.01068
280,499,0.00998
300,536,0.01072
320,495,0.0099
340,500,0.01
360,520,0.0104
380,473,0.00946
400,465,0.0093
420,467,0.00934
440,487,0.00974
460,498,0.00996
480,429,0.00858
500,434,0.00868
520,375,0.0075
540,397,0.00794
560,399,0.00798
580,422,0.00844
600,543,0.01086
630,554,0.01108
660,489,0.00978
690,518,0.01036
720,498,0.00996
750,479,0.00958
780,447,0.00894
810,377,0.00754
840,362,0.00724
870,368,0.00736
900,618,0.01236
950,511,0.01022
1000,496,0.00992
1050,431,0.00862
1100,390,0.0078
1150,313,0.00626
1200,317,0.00634
1250,347,0.00694
1310,306,0.00612
1370,252,0.00504
1430,232,0.00464
1490,201,0.00402
1550,186,0.00372
1610,184,0.00368
1680,161,0.00322
1750,154,0.00308
1820,110,0.0022
1890,132,0.00264
1970,109,0.00218
2050,83,0.00166
