Bin , nEvents , Efficiencies
152.41,266,0.00532
165.05,316,0.00632
178.75,347,0.00694
193.57,453,0.00906
209.63,495,0.0099
227.02,539,0.01078
245.86,629,0.01258
266.25,686,0.01372
288.34,764,0.01528
312.26,835,0.0167
338.16,892,0.01784
366.21,928,0.01856
396.59,1083,0.02166
429.49,1071,0.02142
465.12,1134,0.02268
503.71,1198,0.02396
545.49,1254,0.02508
590.74,1304,0.02608
639.75,1373,0.02746
692.82,1346,0.02692
750.29,1384,0.02768
812.54,1392,0.02784
879.94,1425,0.0285
952.94,1388,0.02776
1032,1330,0.0266
1117.6,1306,0.02612
1210.3,1188,0.02376
1310.7,1147,0.02294
1419.4,1084,0.02168
1537.2,903,0.01806
1664.7,786,0.01572
1802.8,704,0.01408
1952.4,596,0.01192
2114.3,456,0.00912
2289.7,362,0.00724
2479.7,316,0.00632
