Bin , nEvents , Efficiencies
150,375,0.0075
160,360,0.0072
170,323,0.00646
180,372,0.00744
190,362,0.00724
200,773,0.01546
220,701,0.01402
240,721,0.01442
260,725,0.0145
280,634,0.01268
300,668,0.01336
320,592,0.01184
340,532,0.01064
360,547,0.01094
380,560,0.0112
400,504,0.01008
420,486,0.00972
440,518,0.01036
460,500,0.01
480,434,0.00868
500,421,0.00842
520,411,0.00822
540,376,0.00752
560,382,0.00764
580,352,0.00704
600,516,0.01032
630,465,0.0093
660,427,0.00854
690,396,0.00792
720,376,0.00752
750,375,0.0075
780,293,0.00586
810,298,0.00596
840,337,0.00674
870,278,0.00556
900,392,0.00784
950,351,0.00702
1000,309,0.00618
1050,279,0.00558
1100,246,0.00492
1150,208,0.00416
1200,173,0.00346
1250,221,0.00442
1310,160,0.0032
1370,141,0.00282
1430,140,0.0028
1490,119,0.00238
1550,99,0.00198
1610,108,0.00216
1680,101,0.00202
1750,75,0.0015
1820,87,0.00174
1890,63,0.00126
1970,65,0.0013
2050,59,0.00118
