Bin , nEvents , Efficiencies
150,335,0.0067
160,361,0.00722
170,359,0.00718
180,326,0.00652
190,323,0.00646
200,705,0.0141
220,739,0.01478
240,674,0.01348
260,683,0.01366
280,642,0.01284
300,637,0.01274
320,621,0.01242
340,592,0.01184
360,560,0.0112
380,551,0.01102
400,575,0.0115
420,491,0.00982
440,486,0.00972
460,493,0.00986
480,436,0.00872
500,388,0.00776
520,411,0.00822
540,410,0.0082
560,353,0.00706
580,395,0.0079
600,475,0.0095
630,493,0.00986
660,434,0.00868
690,394,0.00788
720,373,0.00746
750,359,0.00718
780,352,0.00704
810,350,0.007
840,315,0.0063
870,245,0.0049
900,424,0.00848
950,361,0.00722
1000,296,0.00592
1050,285,0.0057
1100,256,0.00512
1150,220,0.0044
1200,225,0.0045
1250,210,0.0042
1310,202,0.00404
1370,162,0.00324
1430,139,0.00278
1490,126,0.00252
1550,113,0.00226
1610,136,0.00272
1680,113,0.00226
1750,88,0.00176
1820,63,0.00126
1890,75,0.0015
1970,48,0.00096
2050,55,0.0011
